VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RatecodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
2,2/1/2016 0:01,2/1/2016 0:16,1,3.18,-73.98765564,40.76527023,1,N,-73.99843597,40.726017,1,13,0.5,0.5,2.86,0,0.3,17.16
2,2/1/2016 0:01,2/1/2016 0:09,1,1.98,-73.99318695,40.74129868,1,N,-73.99640656,40.7219696,2,8.5,0.5,0.5,0,0,0.3,9.8
2,2/1/2016 0:01,2/1/2016 0:06,1,1.02,-73.97760773,40.75382614,1,N,-73.99121094,40.75009537,2,5.5,0.5,0.5,0,0,0.3,6.8
2,2/1/2016 0:01,2/1/2016 0:23,1,5.59,-73.9793396,40.75246048,1,N,-73.91213989,40.77384949,1,20,0.5,0.5,4.26,0,0.3,25.56
2,2/1/2016 0:01,2/1/2016 0:07,1,1.56,-73.96121216,40.7646904,1,N,-73.98249054,40.76499176,1,6.5,0.5,0.5,1.5,0,0.3,9.3
2,2/1/2016 0:01,2/1/2016 0:04,2,0.29,-73.99601746,40.7469101,1,N,-73.99700928,40.74488831,2,3.5,0.5,0.5,0,0,0.3,4.8
2,2/1/2016 0:01,2/1/2016 0:24,1,7.21,-74.00450897,40.73043823,1,N,-73.91465759,40.76591873,1,22.5,0.5,0.5,5.95,0,0.3,29.75
2,2/1/2016 0:01,2/1/2016 0:06,1,0.79,-73.99707031,40.73253632,1,N,-73.98604584,40.7263031,1,5,0.5,0.5,0.94,0,0.3,7.24
2,2/1/2016 0:02,2/1/2016 0:10,1,1.11,-73.96911621,40.76963043,1,N,-73.96446991,40.76731873,2,7.5,0.5,0.5,0,0,0.3,8.8
2,2/1/2016 0:02,2/1/2016 0:21,2,10.7,-73.78890228,40.64638901,1,N,-73.70932007,40.72571182,1,30,0.5,0.5,9.39,0,0.3,40.69
2,2/1/2016 0:02,2/1/2016 0:15,1,3.05,-73.94130707,40.78783035,1,N,-73.9467392,40.81964874,1,12,0.5,0.5,2.66,0,0.3,15.96
2,2/1/2016 0:02,2/1/2016 0:12,1,2.15,-74.00370026,40.73241806,1,N,-73.98078156,40.74486923,1,9.5,0.5,0.5,2.16,0,0.3,12.96
2,2/1/2016 0:02,2/1/2016 0:27,1,9.52,-73.99849701,40.72964096,1,N,-73.98803711,40.62136078,2,28.5,0.5,0.5,0,0,0.3,29.8
2,2/1/2016 0:02,2/1/2016 0:26,1,8.6,-73.99866486,40.72973633,1,N,-73.94858551,40.82395172,1,27,0.5,0.5,5.66,0,0.3,33.96
2,2/1/2016 0:02,2/1/2016 0:14,4,3.23,-74.00589752,40.73159027,1,N,-73.991539,40.76776123,1,12.5,0.5,0.5,2.76,0,0.3,16.56
2,2/1/2016 0:02,2/1/2016 0:13,1,2.8,-73.99301147,40.73480988,1,N,-73.99178314,40.76448059,1,10.5,0.5,0.5,2.36,0,0.3,14.16
2,2/1/2016 0:03,2/1/2016 0:13,6,2.52,-73.97344208,40.75454712,1,N,-74.00426483,40.74222565,2,10.5,0.5,0.5,0,0,0.3,11.8
2,2/1/2016 0:03,2/1/2016 0:15,1,3.56,-73.97303009,40.76112366,1,N,-73.91458893,40.75491333,2,13,0.5,0.5,0,0,0.3,14.3
2,2/1/2016 0:03,2/1/2016 0:25,5,12.48,-73.97126007,40.75746918,1,N,-74.02433777,40.63249969,2,35,0.5,0.5,0,0,0.3,36.3
2,2/1/2016 0:03,2/1/2016 0:33,1,18.81,-73.77702332,40.64500046,2,N,-73.9885788,40.72578049,1,52,0,0.5,11.67,5.54,0.3,70.01
2,2/1/2016 0:04,2/1/2016 0:07,1,0.69,-73.96044922,40.71099854,1,N,-73.95665741,40.71886063,2,4.5,0.5,0.5,0,0,0.3,5.8
2,2/1/2016 0:06,2/1/2016 0:24,1,9.64,-73.8638916,40.76988983,1,N,-73.95111084,40.69215012,1,28,0.5,0.5,5.86,0,0.3,35.16
2,2/1/2016 0:08,2/1/2016 0:08,5,18.53,-73.78795624,40.64148331,2,N,-73.99610901,40.73815918,2,52,0,0.5,0,5.54,0.3,58.34
2,2/1/2016 0:11,2/1/2016 0:31,5,8.83,-73.8634491,40.77017975,1,N,-73.96092987,40.79700851,1,26.5,0.5,0.5,6.67,5.54,0.3,40.01
2,2/1/2016 0:14,2/1/2016 0:20,1,2.12,-73.98961639,40.71883774,1,N,-73.9614563,40.71401215,1,8.5,0.5,0.5,1.2,0,0.3,11
2,2/1/2016 0:21,2/1/2016 0:21,1,16.4,-73.79152679,40.64533997,2,N,-73.96962738,40.75368881,2,52,0,0.5,0,5.54,0.3,58.34
1,2/1/2016 0:00,2/1/2016 0:06,1,0.9,-73.98163605,40.72855377,1,N,-73.98048401,40.73954773,1,6.5,0.5,0.5,2.2,0,0.3,10
2,2/1/2016 0:00,2/1/2016 19:50,1,3.42,-73.95346832,40.7673111,1,N,0,0,2,12,1.3,0.5,0,0,0,13.8
1,2/1/2016 0:00,2/1/2016 0:03,3,0,-73.9497757,40.66244125,1,N,-73.94824982,40.6625824,3,2.5,0.5,0.5,0,0,0.3,3.8
1,2/1/2016 0:00,2/1/2016 0:05,1,1,-73.96860504,40.75476456,1,N,-73.97711182,40.76253128,1,6,0.5,0.5,1.45,0,0.3,8.75
1,2/1/2016 0:00,2/1/2016 0:03,1,0.8,-73.9769516,40.74738693,1,N,-73.98693848,40.74481201,1,5,0.5,0.5,1,0,0.3,7.3
2,2/1/2016 0:00,2/1/2016 0:11,2,3.13,-74.00328827,40.72710037,1,N,-73.97119141,40.75588989,1,12,0.5,0.5,2.66,0,0.3,15.96
1,2/1/2016 0:00,2/1/2016 0:18,1,9.4,-73.8744812,40.7740097,1,N,-73.96406555,40.80283356,2,26.5,0.5,0.5,0,5.54,0.3,33.34
1,2/1/2016 0:00,2/1/2016 0:15,2,9.8,-73.86316681,40.76997375,1,N,-73.95632935,40.76748276,1,27.5,0.5,0.5,6.85,5.54,0.3,41.19
1,2/1/2016 0:00,2/1/2016 0:04,1,0.9,0,0,1,Y,0,0,1,5.5,0.5,0.5,1.7,0,0.3,8.5
2,2/1/2016 0:00,2/1/2016 0:22,6,12.1,-74.00010681,40.7177887,1,N,-73.93504333,40.84487152,2,34.5,0.5,0.5,0,0,0.3,35.8
2,2/1/2016 0:00,2/1/2016 0:04,3,1.19,-73.9626236,40.76123047,1,N,-73.95545959,40.77259064,1,6,0.5,0.5,1.82,0,0.3,9.12
1,2/1/2016 0:00,2/1/2016 0:32,4,8.1,-73.99207306,40.75923157,1,N,-73.94001007,40.85145187,1,28.5,0.5,0.5,5,0,0.3,34.8
2,2/1/2016 0:00,2/1/2016 0:20,6,8.11,-73.98277283,40.73500061,1,N,-73.94193268,40.81040955,1,25,0.5,0.5,5.26,0,0.3,31.56
2,2/1/2016 0:00,2/1/2016 0:14,2,3.6,-73.9990921,40.71747208,1,N,-73.98854828,40.75882721,1,13,0.5,0.5,1,0,0.3,15.3
1,2/1/2016 0:00,2/1/2016 0:35,1,10.4,-74.00054932,40.72980881,1,N,-73.93940735,40.82681274,1,33.5,0.5,0.5,5,0,0.3,39.8
2,2/1/2016 0:00,2/1/2016 0:21,1,13.51,-73.87325287,40.77420044,1,N,-73.98451996,40.66342926,2,37.5,0.5,0.5,0,0,0.3,38.8
2,2/1/2016 0:00,2/1/2016 0:09,2,2.42,-74.00001526,40.73808289,1,N,-74.00218964,40.70926285,2,9.5,0.5,0.5,0,0,0.3,10.8
2,2/1/2016 0:00,2/1/2016 0:09,1,2.74,-73.97595978,40.75997925,1,N,-74.00453186,40.73471832,1,10.5,0.5,0.5,2.95,0,0.3,14.75
2,2/1/2016 0:00,2/1/2016 0:09,1,2.06,-73.98336029,40.73891449,1,N,-73.99017334,40.75688171,1,9,0.5,0.5,0,0,0.3,10.3
2,2/1/2016 0:00,2/1/2016 0:10,6,2.52,-73.99351501,40.72127151,1,N,-73.98452759,40.75105667,1,10,0.5,0.5,2.26,0,0.3,13.56
1,2/1/2016 0:00,2/1/2016 0:10,1,2.2,-73.9907608,40.75078201,1,N,-73.99019623,40.72733688,2,9.5,0.5,0.5,0,0,0.3,10.8
1,2/1/2016 0:00,2/1/2016 0:01,1,0.4,-74.00162506,40.72743607,1,N,-74.00086975,40.73198318,1,3.5,0.5,0.5,1,0,0.3,5.8
1,2/1/2016 0:00,2/1/2016 0:11,3,1.6,-73.93275452,40.75298691,1,N,-73.91556549,40.7425766,2,9.5,0.5,0.5,0,0,0.3,10.8
1,2/1/2016 0:00,2/1/2016 0:10,1,3.4,-73.98428345,40.74332809,1,N,-73.95020294,40.77905655,2,12,0.5,0.5,0,0,0.3,13.3
1,2/1/2016 0:00,2/1/2016 0:09,1,1.5,-74.00093079,40.73086548,1,N,-74.01084137,40.72032928,4,8.5,0.5,0.5,0,0,0.3,9.8
1,2/1/2016 0:00,2/1/2016 0:06,1,1.3,-73.98715973,40.76594162,1,N,-73.9916687,40.75122833,1,6.5,0.5,0.5,1.55,0,0.3,9.35
1,2/1/2016 0:00,2/1/2016 0:05,1,1.4,-73.98851776,40.74597168,1,N,-74.00032806,40.73023605,1,6,0.5,0.5,0.1,0,0.3,7.4
2,2/1/2016 0:00,2/1/2016 0:27,2,18.66,-73.79049683,40.64659119,2,N,-74.00406647,40.72986984,1,52,0,0.5,10.56,0,0.3,63.36
1,2/1/2016 0:00,2/1/2016 0:09,1,1.5,-73.98426819,40.75969315,1,N,-73.97425079,40.76162338,2,7.5,0.5,0.5,0,0,0.3,8.8
2,2/1/2016 0:00,2/1/2016 0:17,6,8.72,-73.87086487,40.77379608,1,N,-73.95373535,40.7665596,1,25,0.5,0.5,7.96,5.54,0.3,39.8
1,2/1/2016 0:00,2/1/2016 0:07,1,2.4,-73.96284485,40.76280212,1,N,-73.92826843,40.75577164,2,9.5,0.5,0.5,0,0,0.3,10.8
1,2/1/2016 0:00,2/1/2016 0:16,1,4.6,-73.95654297,40.74744797,1,N,-73.98684692,40.77015305,1,16.5,0.5,0.5,3.55,0,0.3,21.35
2,2/1/2016 0:00,2/1/2016 0:08,1,1.65,-74.00029755,40.73516846,1,N,-74.00383759,40.71683884,1,8,0.5,0.5,2.79,0,0.3,12.09
1,2/1/2016 0:00,2/1/2016 0:10,1,3.7,-73.93393707,40.7515564,1,N,-73.9890213,40.75712585,1,13,0.5,0.5,2,0,0.3,16.3
2,2/1/2016 0:00,2/1/2016 0:04,3,0.73,-74.0036087,40.7518425,1,N,-74.00115967,40.74637604,1,5,0.5,0.5,1.26,0,0.3,7.56
1,2/1/2016 0:00,2/1/2016 0:15,1,4.5,-73.98390198,40.75504303,1,N,-73.9267807,40.76597214,2,15.5,0.5,0.5,0,0,0.3,16.8
2,2/1/2016 0:00,2/1/2016 0:32,1,18.69,-73.78132629,40.64671326,2,N,-74.00201416,40.74198151,1,52,0,0.5,11.67,5.54,0.3,70.01
1,2/1/2016 0:00,2/1/2016 0:17,2,4.8,-74.00405121,40.72395325,1,N,-73.93946838,40.72403336,1,16.5,0.5,0.5,4.45,0,0.3,22.25
1,2/1/2016 0:00,2/1/2016 0:08,1,1.7,-73.97703552,40.74309921,1,N,-73.99268341,40.75852966,1,8.5,0.5,0.5,2.45,0,0.3,12.25
2,2/1/2016 0:00,2/1/2016 0:16,6,4.09,-73.98709106,40.72513962,1,N,-73.94571686,40.6995697,1,15,0.5,0.5,4.08,0,0.3,20.38
2,2/1/2016 0:00,2/1/2016 0:13,1,2.5,-73.99391937,40.7353096,1,N,-73.97129822,40.75854874,1,11.5,0.5,0.5,2.56,0,0.3,15.36
2,2/1/2016 0:00,2/1/2016 0:06,1,1.14,-74.0043335,40.75264359,1,N,-73.9932785,40.7431221,2,6.5,0.5,0.5,0,0,0.3,7.8
1,2/1/2016 0:00,2/1/2016 0:22,2,8.4,-74.01330566,40.70205688,1,N,-73.96052551,40.65234375,2,25.5,0.5,0.5,0,0,0.3,26.8
1,2/1/2016 0:00,2/1/2016 0:20,1,9.8,-73.99042511,40.74117279,1,N,-74.03016663,40.63807297,1,28.5,0.5,0.5,5.95,0,0.3,35.75
1,2/1/2016 0:00,2/1/2016 0:11,1,3.6,-73.9781189,40.72947311,1,N,-73.95207214,40.77330017,1,12.5,0.5,0.5,2.75,0,0.3,16.55
1,2/1/2016 0:00,2/1/2016 0:04,2,0.3,-73.99035645,40.75926208,1,N,-73.98509979,40.76029205,1,4.5,0.5,0.5,2,0,0.3,7.8
2,2/1/2016 0:00,2/1/2016 0:12,5,3.91,-73.94850922,40.7849617,1,N,-73.99263763,40.75405884,1,13,0.5,0.5,2.86,0,0.3,17.16
1,2/1/2016 0:00,2/1/2016 0:09,1,2.7,-73.95443726,40.78974915,1,N,-73.95323944,40.81755829,2,10,0.5,0.5,0,0,0.3,11.3
1,2/1/2016 0:00,2/1/2016 0:03,1,0.5,-73.98521423,40.74738312,1,N,-73.99137115,40.74992752,2,4,0.5,0.5,0,0,0.3,5.3
1,2/1/2016 0:00,2/1/2016 0:03,1,0.7,-73.99785614,40.75151062,1,N,-74.00495148,40.74331284,1,4.5,0.5,0.5,1.15,0,0.3,6.95
1,2/1/2016 0:00,2/1/2016 0:08,3,2,-73.981987,40.77127075,1,N,-73.98575592,40.74992752,2,8.5,0.5,0.5,0,0,0.3,9.8
